Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
116054,False,False,1,1,0,1,0,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,1,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,2,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,3,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,4,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,5,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,6,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,7,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,8,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,9,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,10,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,11,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,12,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,13,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,14,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,15,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,16,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,17,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,1
116054,False,False,1,1,0,1,18,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,19,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,20,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,21,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,22,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,1,1,0,1,23,32.84733926,0,1,0,-96.87891491,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,0,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,1,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,2,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,3,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,4,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,5,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,6,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,7,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,8,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,9,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,10,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,11,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,12,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
116054,False,False,4,0,1,1,13,32.84739594,0,1,0,-96.87904733,6.4,0,1,0,False,60,0,0,0,1,0,0,6.613764404195194,,0
