Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
11292,False,False,1,1,1,1,0,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,1,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,2,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,3,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,4,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,1
11292,False,False,1,1,1,1,5,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,6,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,7,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,8,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,9,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,10,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,11,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,12,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,13,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,14,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,15,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,16,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,17,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,18,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,19,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,20,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,21,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,22,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
11292,False,False,1,1,1,1,23,32.69407477,0,0,1,-96.89367517,3.7,0,1,1,False,40,0,0,0,1,0,0,0.06143922318881323,,0
189698,False,False,6,1,1,1,0,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
189698,False,False,6,1,1,1,1,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
189698,False,False,6,1,1,1,2,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
189698,False,False,6,1,1,1,3,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
189698,False,False,6,1,1,1,4,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
189698,False,False,6,1,1,1,5,32.66335132,0,1,0,-96.89885354,3.9,0,1,0,False,70,0,0,0,1,0,0,7.856751742679336,,0
