Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
20709,True,False,4,0,1,1,0,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,1,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,2,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,3,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,4,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,5,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,6,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,7,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,8,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,1
20709,True,False,4,0,1,1,9,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,10,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,11,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,12,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,13,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,14,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,15,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,16,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,17,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,18,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,19,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,20,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,21,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,22,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,True,False,4,0,1,1,23,32.58994789,0,1,0,-96.90483256,0.9,0,0,1,False,45,0,0,0,1,0,0,0.0,0,0
20709,False,False,11,1,0,1,0,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,1,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,2,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,1
20709,False,False,11,1,0,1,3,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,4,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,5,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,6,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
20709,False,False,11,1,0,1,7,32.58995291,0,0,1,-96.90367498,0.9,0,0,1,False,45,0,0,0,1,0,0,0.011784352255261865,2,0
