Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
11292,False,False,1,0,1,0,0,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,1,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,2,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,3,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,4,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,5,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,6,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,7,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,1
11292,False,False,1,0,1,0,8,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,9,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,10,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,11,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,12,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,13,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,14,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,15,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,16,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,17,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,18,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,19,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,20,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,21,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,22,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,1,0,1,0,23,32.7055759,0,0,1,-96.90355333,3.7,0,1,1,False,50,0,1,1,0,0,0,179.99528305984228,8,0
11292,False,False,8,1,1,1,0,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,1,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,2,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,3,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,4,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,5,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,6,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,7,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,8,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,9,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,10,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,11,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,12,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,13,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,14,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,15,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,16,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,17,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,18,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,1
11292,False,False,8,1,1,1,19,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,20,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,21,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,22,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,False,False,8,1,1,1,23,32.70485666,0,1,0,-96.90281298,3.7,0,1,1,False,50,0,0,0,1,0,0,0.7266361226746199,3,0
11292,True,False,6,1,0,1,0,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,1,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,2,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,3,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,4,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,5,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
11292,True,False,6,1,0,1,6,32.70295446,0,1,0,-96.90109572,3.7,0,0,1,False,50,0,0,0,1,0,0,0.386933803965519,,0
